onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
1731.5902947155298	2281.9798343255607	epochs																
1731.5902947155298	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1733.5902979674916	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1735.590301219453	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1737.5903044714148	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1739.5903077233763	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1741.590310975338	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1743.5900874237748	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1745.5903174792613	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1747.5900934073836	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1749.5900963991878	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1751.5903272351463	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1753.5902971870207	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1755.5903004389822	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
1757.590303690944	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	15r_16b	15.0	16.0	bipolar		[8428. 1188. 3303.]	[8428. 1288. 3303.]
